2023-03-08 17:38:36 startup archives install
2024-05-21 20:51:42 status unpacked libdrm-common:all 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status half-configured libdrm-common:all 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status installed libdrm-common:all 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 startup archives unpack
2024-05-21 20:51:42 install libdrm2:amd64 <none> 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.7
2024-05-21 20:51:42 status half-installed libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status unpacked libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 startup packages configure
2024-05-21 20:51:42 configure libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee <none>
2024-05-21 20:51:42 status unpacked libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status half-configured libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 status installed libdrm2:amd64 2.4.120-1pop1~1706792268~22.04~bfb54ee
2024-05-21 20:51:42 startup archives unpack
2024-05-21 20:51:42 install libpng16-16:amd64 <none> 1.6.37-3build5
2024-05-21 20:51:42 status half-installed libpng16-16:amd64 1.6.37-3build5
2024-05-21 20:51:42 status unpacked libpng16-16:amd64 1.6.37-3build5
2024-05-21 20:51:42 startup packages configure
2024-05-21 20:51:42 configure libpng16-16:amd64 1.6.37-3build5 <none>
2024-05-21 20:51:42 status unpacked libpng16-16:amd64 1.6.37-3build5
2024-05-21 20:51:42 status half-configured libpng16-16:amd64 1.6.37-3build5
2024-05-21 20:51:42 status installed libpng16-16:amd64 1.6.37-3build5
2024-05-21 20:51:42 startup archives unpack
2024-05-21 20:51:42 install libplymouth5:amd64 <none> 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:42 status half-installed libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:42 status unpacked libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:42 startup packages configure
2024-05-21 20:51:42 configure libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1 <none>
2024-05-21 20:51:42 status unpacked libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:42 status half-configured libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:42 status installed libplymouth5:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:43 startup archives unpack
2024-05-21 20:51:43 install libedit2:amd64 <none> 3.1-20210910-1build1
2024-05-21 20:51:43 status half-installed libedit2:amd64 3.1-20210910-1build1
2024-05-21 20:51:43 status unpacked libedit2:amd64 3.1-20210910-1build1
2024-05-21 20:51:43 startup packages configure
2024-05-21 20:51:43 configure libedit2:amd64 3.1-20210910-1build1 <none>
2024-05-21 20:51:43 status unpacked libedit2:amd64 3.1-20210910-1build1
2024-05-21 20:51:43 status half-configured libedit2:amd64 3.1-20210910-1build1
2024-05-21 20:51:43 status installed libedit2:amd64 3.1-20210910-1build1
2024-05-21 20:51:43 startup archives unpack
2024-05-21 20:51:43 install chrony:amd64 <none> 4.2-2ubuntu2
2024-05-21 20:51:43 status half-installed chrony:amd64 4.2-2ubuntu2
2024-05-21 20:51:43 status unpacked chrony:amd64 4.2-2ubuntu2
2024-05-21 20:51:43 startup packages configure
2024-05-21 20:51:43 configure chrony:amd64 4.2-2ubuntu2 <none>
2024-05-21 20:51:43 status unpacked chrony:amd64 4.2-2ubuntu2
2024-05-21 20:51:43 status half-configured chrony:amd64 4.2-2ubuntu2
2024-05-21 20:51:44 status installed chrony:amd64 4.2-2ubuntu2
2024-05-21 20:51:44 startup archives unpack
2024-05-21 20:51:44 upgrade systemd-sysv:amd64 249.11-0ubuntu3 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:44 status half-configured systemd-sysv:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked systemd-sysv:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status half-installed systemd-sysv:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked systemd-sysv:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:44 upgrade libnss-systemd:amd64 249.11-0ubuntu3 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:44 status half-configured libnss-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked libnss-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status half-installed libnss-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked libnss-systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:44 upgrade libpam-systemd:amd64 249.11-0ubuntu3 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:44 status half-configured libpam-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked libpam-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status half-installed libpam-systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:44 status unpacked libpam-systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 upgrade libsystemd0:amd64 249.11-0ubuntu3 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 status half-configured libsystemd0:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status half-installed libsystemd0:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status unpacked libsystemd0:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 startup packages configure
2024-05-21 20:51:45 configure libsystemd0:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf <none>
2024-05-21 20:51:45 status unpacked libsystemd0:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 status half-configured libsystemd0:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 status installed libsystemd0:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 startup archives unpack
2024-05-21 20:51:45 upgrade systemd:amd64 249.11-0ubuntu3 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 status half-configured systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status unpacked systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status half-installed systemd:amd64 249.11-0ubuntu3
2024-05-21 20:51:45 status triggers-pending dbus:amd64 1.12.20-2ubuntu4.1
2024-05-21 20:51:45 status unpacked systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 startup packages configure
2024-05-21 20:51:45 configure systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf <none>
2024-05-21 20:51:45 status unpacked systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:45 status half-configured systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:46 status installed systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:46 startup archives unpack
2024-05-21 20:51:46 install dbus-broker:amd64 <none> 29-4build1
2024-05-21 20:51:46 status half-installed dbus-broker:amd64 29-4build1
2024-05-21 20:51:46 status triggers-pending systemd:amd64 249.11-0ubuntu3.11pop0~1704473387~22.04~3ce38bf
2024-05-21 20:51:46 status unpacked dbus-broker:amd64 29-4build1
2024-05-21 20:51:46 install plymouth:amd64 <none> 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 status half-installed plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 status unpacked plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 startup packages configure
2024-05-21 20:51:46 configure plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1 <none>
2024-05-21 20:51:46 status unpacked plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 status half-configured plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 status installed plymouth:amd64 22.02.122-0pop2~1677520013~22.04~adbc2e1
2024-05-21 20:51:46 startup archives unpack
2024-05-21 20:51:46 install libfreetype6:amd64 <none> 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 status half-installed libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 status unpacked libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 startup packages configure
2024-05-21 20:51:46 configure libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2 <none>
2024-05-21 20:51:46 status unpacked libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 status half-configured libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 status installed libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2024-05-21 20:51:46 startup archives unpack
2024-05-21 20:51:46 install fonts-dejavu-core:all <none> 2.37-2build1
2024-05-21 20:51:46 status half-installed fonts-dejavu-core:all 2.37-2build1
2024-05-21 20:51:46 status unpacked fonts-dejavu-core:all 2.37-2build1
2024-05-21 20:51:46 startup packages configure
2024-05-21 20:51:46 configure fonts-dejavu-core:all 2.37-2build1 <none>
2024-05-21 20:51:46 status unpacked fonts-dejavu-core:all 2.37-2build1
2024-05-21 20:51:47 status half-configured fonts-dejavu-core:all 2.37-2build1
2024-05-21 20:51:47 status installed fonts-dejavu-core:all 2.37-2build1
2024-05-21 20:51:47 startup archives unpack
2024-05-21 20:51:47 install fonts-liberation:all <none> 1:1.07.4-11
2024-05-21 20:51:47 status half-installed fonts-liberation:all 1:1.07.4-11
2024-05-21 20:51:47 status unpacked fonts-liberation:all 1:1.07.4-11
2024-05-21 20:51:47 startup packages configure
2024-05-21 20:51:47 configure fonts-liberation:all 1:1.07.4-11 <none>
2024-05-21 20:51:47 status unpacked fonts-liberation:all 1:1.07.4-11
2024-05-21 20:51:47 status half-configured fonts-liberation:all 1:1.07.4-11
2024-05-21 20:51:47 status installed fonts-liberation:all 1:1.07.4-11
2024-05-21 20:51:47 startup archives unpack
2024-05-21 20:51:47 install fonts-liberation2:all <none> 2.1.5-1
2024-05-21 20:51:47 status half-installed fonts-liberation2:all 2.1.5-1
2024-05-21 20:51:47 status unpacked fonts-liberation2:all 2.1.5-1
2024-05-21 20:51:47 startup packages configure
2024-05-21 20:51:47 configure fonts-liberation2:all 2.1.5-1 <none>
2024-05-21 20:51:47 status unpacked fonts-liberation2:all 2.1.5-1
2024-05-21 20:51:47 status half-configured fonts-liberation2:all 2.1.5-1
2024-05-21 20:51:47 status installed fonts-liberation2:all 2.1.5-1
2024-05-21 20:51:47 startup archives unpack
2024-05-21 20:51:47 install fonts-freefont-ttf:all <none> 20120503-10build1
2024-05-21 20:51:47 status half-installed fonts-freefont-ttf:all 20120503-10build1
2024-05-21 20:51:47 status unpacked fonts-freefont-ttf:all 20120503-10build1
2024-05-21 20:51:47 startup packages configure
2024-05-21 20:51:47 configure fonts-freefont-ttf:all 20120503-10build1 <none>
2024-05-21 20:51:47 status unpacked fonts-freefont-ttf:all 20120503-10build1
2024-05-21 20:51:47 status half-configured fonts-freefont-ttf:all 20120503-10build1
2024-05-21 20:51:47 status installed fonts-freefont-ttf:all 20120503-10build1
2024-05-21 20:51:47 startup archives unpack
2024-05-21 20:51:47 install fonts-urw-base35:all <none> 20200910-1
2024-05-21 20:51:47 status half-installed fonts-urw-base35:all 20200910-1
2024-05-21 20:51:48 status unpacked fonts-urw-base35:all 20200910-1
2024-05-21 20:51:48 startup packages configure
2024-05-21 20:51:48 configure fonts-urw-base35:all 20200910-1 <none>
2024-05-21 20:51:48 status unpacked fonts-urw-base35:all 20200910-1
2024-05-21 20:51:48 status half-configured fonts-urw-base35:all 20200910-1
2024-05-21 20:51:48 status installed fonts-urw-base35:all 20200910-1
2024-05-21 20:51:48 startup archives unpack
2024-05-21 20:51:48 install fontconfig-config:all <none> 2.13.1-4.2ubuntu5
2024-05-21 20:51:48 status half-installed fontconfig-config:all 2.13.1-4.2ubuntu5
2024-05-21 20:51:48 status unpacked fontconfig-config:all 2.13.1-4.2ubuntu5
2024-05-21 20:51:48 startup packages configure
2024-05-21 20:51:48 configure fontconfig-config:all 2.13.1-4.2ubuntu5 <none>
2024-05-21 20:51:48 status unpacked fontconfig-config:all 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status half-configured fontconfig-config:all 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status installed fontconfig-config:all 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 startup archives unpack
2024-05-21 20:51:49 install libfontconfig1:amd64 <none> 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status half-installed libfontconfig1:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status unpacked libfontconfig1:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 startup packages configure
2024-05-21 20:51:49 configure libfontconfig1:amd64 2.13.1-4.2ubuntu5 <none>
2024-05-21 20:51:49 status unpacked libfontconfig1:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status half-configured libfontconfig1:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 status installed libfontconfig1:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:49 startup archives unpack
2024-05-21 20:51:49 install libpixman-1-0:amd64 <none> 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 status half-installed libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 startup packages configure
2024-05-21 20:51:49 configure libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1 <none>
2024-05-21 20:51:49 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 status half-configured libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 status installed libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2024-05-21 20:51:49 startup archives unpack
2024-05-21 20:51:49 install libxau6:amd64 <none> 1:1.0.9-1build5
2024-05-21 20:51:49 status half-installed libxau6:amd64 1:1.0.9-1build5
2024-05-21 20:51:49 status unpacked libxau6:amd64 1:1.0.9-1build5
2024-05-21 20:51:49 startup packages configure
2024-05-21 20:51:49 configure libxau6:amd64 1:1.0.9-1build5 <none>
2024-05-21 20:51:49 status unpacked libxau6:amd64 1:1.0.9-1build5
2024-05-21 20:51:49 status half-configured libxau6:amd64 1:1.0.9-1build5
2024-05-21 20:51:49 status installed libxau6:amd64 1:1.0.9-1build5
2024-05-21 20:51:49 startup archives unpack
2024-05-21 20:51:49 install libxdmcp6:amd64 <none> 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 status half-installed libxdmcp6:amd64 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 startup packages configure
2024-05-21 20:51:49 configure libxdmcp6:amd64 1:1.1.3-0ubuntu5 <none>
2024-05-21 20:51:49 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 status half-configured libxdmcp6:amd64 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 status installed libxdmcp6:amd64 1:1.1.3-0ubuntu5
2024-05-21 20:51:49 startup archives unpack
2024-05-21 20:51:49 install libxcb1:amd64 <none> 1.14-3ubuntu3
2024-05-21 20:51:49 status half-installed libxcb1:amd64 1.14-3ubuntu3
2024-05-21 20:51:49 status unpacked libxcb1:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libxcb1:amd64 1.14-3ubuntu3 <none>
2024-05-21 20:51:50 status unpacked libxcb1:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status half-configured libxcb1:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status installed libxcb1:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup archives unpack
2024-05-21 20:51:50 install libx11-data:all <none> 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status half-installed libx11-data:all 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status unpacked libx11-data:all 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libx11-data:all 2:1.7.5-1ubuntu0.3 <none>
2024-05-21 20:51:50 status unpacked libx11-data:all 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status half-configured libx11-data:all 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status installed libx11-data:all 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 startup archives unpack
2024-05-21 20:51:50 install libx11-6:amd64 <none> 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status half-installed libx11-6:amd64 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status unpacked libx11-6:amd64 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libx11-6:amd64 2:1.7.5-1ubuntu0.3 <none>
2024-05-21 20:51:50 status unpacked libx11-6:amd64 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status half-configured libx11-6:amd64 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 status installed libx11-6:amd64 2:1.7.5-1ubuntu0.3
2024-05-21 20:51:50 startup archives unpack
2024-05-21 20:51:50 install libxcb-render0:amd64 <none> 1.14-3ubuntu3
2024-05-21 20:51:50 status half-installed libxcb-render0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status unpacked libxcb-render0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libxcb-render0:amd64 1.14-3ubuntu3 <none>
2024-05-21 20:51:50 status unpacked libxcb-render0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status half-configured libxcb-render0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status installed libxcb-render0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup archives unpack
2024-05-21 20:51:50 install libxcb-shm0:amd64 <none> 1.14-3ubuntu3
2024-05-21 20:51:50 status half-installed libxcb-shm0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status unpacked libxcb-shm0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libxcb-shm0:amd64 1.14-3ubuntu3 <none>
2024-05-21 20:51:50 status unpacked libxcb-shm0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status half-configured libxcb-shm0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 status installed libxcb-shm0:amd64 1.14-3ubuntu3
2024-05-21 20:51:50 startup archives unpack
2024-05-21 20:51:50 install libxext6:amd64 <none> 2:1.3.4-1build1
2024-05-21 20:51:50 status half-installed libxext6:amd64 2:1.3.4-1build1
2024-05-21 20:51:50 status unpacked libxext6:amd64 2:1.3.4-1build1
2024-05-21 20:51:50 startup packages configure
2024-05-21 20:51:50 configure libxext6:amd64 2:1.3.4-1build1 <none>
2024-05-21 20:51:50 status unpacked libxext6:amd64 2:1.3.4-1build1
2024-05-21 20:51:50 status half-configured libxext6:amd64 2:1.3.4-1build1
2024-05-21 20:51:50 status installed libxext6:amd64 2:1.3.4-1build1
2024-05-21 20:51:51 startup archives unpack
2024-05-21 20:51:51 install libxrender1:amd64 <none> 1:0.9.10-1build4
2024-05-21 20:51:51 status half-installed libxrender1:amd64 1:0.9.10-1build4
2024-05-21 20:51:51 status unpacked libxrender1:amd64 1:0.9.10-1build4
2024-05-21 20:51:51 startup packages configure
2024-05-21 20:51:51 configure libxrender1:amd64 1:0.9.10-1build4 <none>
2024-05-21 20:51:51 status unpacked libxrender1:amd64 1:0.9.10-1build4
2024-05-21 20:51:51 status half-configured libxrender1:amd64 1:0.9.10-1build4
2024-05-21 20:51:51 status installed libxrender1:amd64 1:0.9.10-1build4
2024-05-21 20:51:51 startup archives unpack
2024-05-21 20:51:51 install libcairo2:amd64 <none> 1.16.0-5ubuntu2
2024-05-21 20:51:51 status half-installed libcairo2:amd64 1.16.0-5ubuntu2
2024-05-21 20:51:51 status unpacked libcairo2:amd64 1.16.0-5ubuntu2
2024-05-21 20:51:51 startup packages configure
2024-05-21 20:51:51 configure libcairo2:amd64 1.16.0-5ubuntu2 <none>
2024-05-21 20:51:51 status unpacked libcairo2:amd64 1.16.0-5ubuntu2
2024-05-21 20:51:51 status half-configured libcairo2:amd64 1.16.0-5ubuntu2
2024-05-21 20:51:51 status installed libcairo2:amd64 1.16.0-5ubuntu2
2024-05-21 20:51:51 startup archives unpack
2024-05-21 20:51:51 install fontconfig:amd64 <none> 2.13.1-4.2ubuntu5
2024-05-21 20:51:51 status half-installed fontconfig:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:51 status unpacked fontconfig:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:51 startup packages configure
2024-05-21 20:51:51 configure fontconfig:amd64 2.13.1-4.2ubuntu5 <none>
2024-05-21 20:51:51 status unpacked fontconfig:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:51 status half-configured fontconfig:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:53 status installed fontconfig:amd64 2.13.1-4.2ubuntu5
2024-05-21 20:51:53 startup archives unpack
2024-05-21 20:51:53 install libgraphite2-3:amd64 <none> 1.3.14-1build2
2024-05-21 20:51:53 status half-installed libgraphite2-3:amd64 1.3.14-1build2
2024-05-21 20:51:53 status unpacked libgraphite2-3:amd64 1.3.14-1build2
2024-05-21 20:51:53 startup packages configure
2024-05-21 20:51:53 configure libgraphite2-3:amd64 1.3.14-1build2 <none>
2024-05-21 20:51:53 status unpacked libgraphite2-3:amd64 1.3.14-1build2
2024-05-21 20:51:53 status half-configured libgraphite2-3:amd64 1.3.14-1build2
2024-05-21 20:51:53 status installed libgraphite2-3:amd64 1.3.14-1build2
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libharfbuzz0b:amd64 <none> 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 status half-installed libharfbuzz0b:amd64 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 status unpacked libharfbuzz0b:amd64 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 startup packages configure
2024-05-21 20:51:54 configure libharfbuzz0b:amd64 2.7.4-1ubuntu3.1 <none>
2024-05-21 20:51:54 status unpacked libharfbuzz0b:amd64 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 status half-configured libharfbuzz0b:amd64 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 status installed libharfbuzz0b:amd64 2.7.4-1ubuntu3.1
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libthai-data:all <none> 0.1.29-1build1
2024-05-21 20:51:54 status half-installed libthai-data:all 0.1.29-1build1
2024-05-21 20:51:54 status unpacked libthai-data:all 0.1.29-1build1
2024-05-21 20:51:54 startup packages configure
2024-05-21 20:51:54 configure libthai-data:all 0.1.29-1build1 <none>
2024-05-21 20:51:54 status unpacked libthai-data:all 0.1.29-1build1
2024-05-21 20:51:54 status half-configured libthai-data:all 0.1.29-1build1
2024-05-21 20:51:54 status installed libthai-data:all 0.1.29-1build1
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libdatrie1:amd64 <none> 0.2.13-2
2024-05-21 20:51:54 status half-installed libdatrie1:amd64 0.2.13-2
2024-05-21 20:51:54 status unpacked libdatrie1:amd64 0.2.13-2
2024-05-21 20:51:54 startup packages configure
2024-05-21 20:51:54 configure libdatrie1:amd64 0.2.13-2 <none>
2024-05-21 20:51:54 status unpacked libdatrie1:amd64 0.2.13-2
2024-05-21 20:51:54 status half-configured libdatrie1:amd64 0.2.13-2
2024-05-21 20:51:54 status installed libdatrie1:amd64 0.2.13-2
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libthai0:amd64 <none> 0.1.29-1build1
2024-05-21 20:51:54 status half-installed libthai0:amd64 0.1.29-1build1
2024-05-21 20:51:54 status unpacked libthai0:amd64 0.1.29-1build1
2024-05-21 20:51:54 startup packages configure
2024-05-21 20:51:54 configure libthai0:amd64 0.1.29-1build1 <none>
2024-05-21 20:51:54 status unpacked libthai0:amd64 0.1.29-1build1
2024-05-21 20:51:54 status half-configured libthai0:amd64 0.1.29-1build1
2024-05-21 20:51:54 status installed libthai0:amd64 0.1.29-1build1
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libpango-1.0-0:amd64 <none> 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status half-installed libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status unpacked libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 startup packages configure
2024-05-21 20:51:54 configure libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1 <none>
2024-05-21 20:51:54 status unpacked libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status half-configured libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status installed libpango-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 startup archives unpack
2024-05-21 20:51:54 install libpangoft2-1.0-0:amd64 <none> 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status half-installed libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:54 status unpacked libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 startup packages configure
2024-05-21 20:51:55 configure libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1 <none>
2024-05-21 20:51:55 status unpacked libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status half-configured libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status installed libpangoft2-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 startup archives unpack
2024-05-21 20:51:55 install libpangocairo-1.0-0:amd64 <none> 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status half-installed libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status unpacked libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 startup packages configure
2024-05-21 20:51:55 configure libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1 <none>
2024-05-21 20:51:55 status unpacked libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status half-configured libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1
2024-05-21 20:51:55 status installed libpangocairo-1.0-0:amd64 1.50.6+ds-2ubuntu1
